,,,,,
One,0,1,1,0,0
,0,0,1,0,0
,0,0,1,0,0
,0,0,1,0,0
,0,0,1,0,0
,0,0,1,0,0
,1,1,1,1,1
,,,,,
Two,0,1,1,1,0
,1,0,0,0,1
,0,0,0,1,0
,0,0,1,0,0
,0,1,0,0,0
,1,0,0,0,0
,1,1,1,1,1
,,,,,
Three,0,1,1,1,0
,1,0,0,0,1
,0,0,0,0,1
,0,0,1,1,0
,0,0,0,0,1
,1,0,0,0,1
,0,1,1,1,0
,,,,,
Four,0,0,1,1,0
,0,1,0,1,0
,0,1,0,1,0
,1,0,0,1,0
,1,1,1,1,1
,0,0,0,1,0
,0,0,0,1,0
,,,,,
Five,1,1,1,1,1
,1,0,0,0,0
,1,1,1,1,0
,0,0,0,0,1
,0,0,0,0,1
,1,0,0,0,1
,0,1,1,1,0
,,,,,
Six,0,0,1,1,1
,0,1,0,0,0
,1,1,1,1,0
,1,0,0,0,1
,1,0,0,0,1
,1,0,0,0,1
,0,1,1,1,0
,,,,,
Seven,1,1,1,1,1
,0,0,0,0,1
,0,0,0,1,0
,0,0,1,0,0
,0,0,1,0,0
,0,1,0,0,0
,0,1,0,0,0
,,,,,
Eight,0,1,1,1,0
,1,0,0,0,1
,1,0,0,0,1
,0,1,1,1,0
,1,0,0,0,1
,1,0,0,0,1
,0,1,1,1,0
,,,,,
Nine,0,1,1,1,0
,1,0,0,0,1
,1,0,0,0,1
,0,1,1,1,1
,0,0,0,0,1
,0,0,0,1,0
,0,1,1,0,0
,,,,,
Zero,0,1,1,1,0
,1,0,0,0,1
,1,0,0,0,1
,1,0,0,0,1
,1,0,0,0,1
,1,0,0,0,1
,0,1,1,1,0
